pays,code_pays,annee,produit,code_produit,dispo_int,alim_ani,semences,pertes,transfo,nourriture,autres_utilisations
Inde,100,2013,Viande de Volailles,2734,2352000,,,,,2352000,
Inde,100,2013,"Viande, Autre",2735,179000,,,,9000,171000,
Inde,100,2013,Abats Comestible,2736,475000,,,,,475000,
Inde,100,2013,Graisses Animales Crue,2737,236000,,,,,51000,185000
Inde,100,2013,"Beurre, Ghee",2740,3789000,,,,,3789000,
Inde,100,2013,Crème,2743,1000,,,,,1000,
Inde,100,2013,Oeufs,2744,3763000,,152000,384000,,3231000,
Inde,100,2013,Miel,2745,31000,,,,,31000,
Inde,100,2013,Poissons Eau Douce,2761,4354000,,,,,4354000,0
Inde,100,2013,Perciform,2762,784000,,,,,375000,409000
Inde,100,2013,Poissons Pelagiques,2763,948000,272000,,,,676000,0
Inde,100,2013,"Poissons Marins, Autres",2764,487000,0,,,,487000,0
Inde,100,2013,Crustacés,2765,407000,,,,,407000,0
Inde,100,2013,Cephalopodes,2766,1000,,,,,1000,0
Inde,100,2013,"Mollusques, Autres",2767,10000,,,,,10000,0
Inde,100,2013,Animaux Aquatiques Autre,2769,0,,,,,0,0
Inde,100,2013,Plantes Aquatiques,2775,4000,,,,,0,4000
Inde,100,2013,Huiles de Poissons,2781,0,0,,,,0,0
Inde,100,2013,Huiles de Foie de Poisso,2782,0,,,,,0,0
Inde,100,2013,Riz (Eq Blanchi),2805,94854000,2124000,2171000,3186000,368000,87006000,
Inde,100,2013,Lait - Excl Beurre,2848,133443000,22757000,,4878000,,105807000,0
Inde,100,2013,Miscellanees,2899,,,,,,,
Indonésie,101,2013,Blé,2511,6812000,202000,,136000,0,6360000,155000
Indonésie,101,2013,Orge,2513,66000,,,,66000,0,
Indonésie,101,2013,Maïs,2514,20738000,6000000,180000,1277000,0,8820000,4461000
Indonésie,101,2013,Seigle,2515,0,,,,,0,0
Indonésie,101,2013,Avoine,2516,10000,0,,,,10000,
Indonésie,101,2013,Millet,2517,18000,,,,,18000,
Indonésie,101,2013,Sorgho,2518,2000,2000,,,,,
Indonésie,101,2013,"Céréales, Autres",2520,11000,9000,,,,,2000
Indonésie,101,2013,Pommes de Terre,2531,1237000,,60000,45000,,1054000,79000
Indonésie,101,2013,Manioc,2532,24219000,480000,,3110000,,11735000,8894000
Indonésie,101,2013,Patates douces,2533,2377000,50000,215000,210000,,1902000,
Indonésie,101,2013,Racines nda,2534,401000,42000,,8000,,351000,
Indonésie,101,2013,"Sucre, canne",2536,33700000,,,,33700000,,
Indonésie,101,2013,"Sucre, betterave",2537,0,,,,,,
Indonésie,101,2013,Sucre non centrifugé,2541,0,,,,,0,
Indonésie,101,2013,Sucre Eq Brut,2542,4306000,,,,0,3872000,435000
Indonésie,101,2013,Edulcorants Autres,2543,621000,,,,220000,370000,31000
Indonésie,101,2013,Haricots,2546,286000,,9000,30000,,246000,
Indonésie,101,2013,Pois,2547,7000,,,,,7000,
Indonésie,101,2013,Légumineuses Autres,2549,25000,,,1000,,24000,
Indonésie,101,2013,Noix,2551,109000,,,,,148000,
Indonésie,101,2013,Soja,2555,2565000,,48000,130000,2109000,279000,
Indonésie,101,2013,Arachides Decortiquees,2556,1230000,,8000,58000,82000,1081000,
Indonésie,101,2013,Graines de tournesol,2557,7000,,,,7000,,
Indonésie,101,2013,Graines Colza/Moutarde,2558,1000,,,,,0,1000
Indonésie,101,2013,Graines de coton,2559,1000,,0,,1000,,
Indonésie,101,2013,Coco (Incl Coprah),2560,17546000,,,1830000,6904000,4611000,4200000
Indonésie,101,2013,Sésame,2561,10000,,,,,10000,
Indonésie,101,2013,Palmistes,2562,6880000,,,,6880000,,
Indonésie,101,2013,Olives,2563,0,,,,,0,
Indonésie,101,2013,"Plantes Oleiferes, Autre",2570,175000,0,0,11000,329000,0,13000
Indonésie,101,2013,Huile de Soja,2571,405000,,,,,405000,
Indonésie,101,2013,Huile d'Arachide,2572,34000,,,,,34000,
Indonésie,101,2013,Huile de Tournesol,2573,8000,,,,,8000,
Indonésie,101,2013,Huile de Colza&Moutarde,2574,5000,,,,,,5000
Indonésie,101,2013,Huile Graines de Coton,2575,0,,,,,0,
Indonésie,101,2013,Huile de Palmistes,2576,1417000,,,,,677000,740000
Indonésie,101,2013,Huile de Palme,2577,3714000,,,,,1200000,2514000
Indonésie,101,2013,Huile de Coco,2578,220000,,,,,219000,1000
Indonésie,101,2013,Huile de Sésame,2579,0,,,,,0,
Indonésie,101,2013,Huile d'Olive,2580,2000,,,,,2000,
Indonésie,101,2013,Huile de Son de Riz,2581,0,,,,,0,
Indonésie,101,2013,Huile de Germe de Maïs,2582,9000,,,,,9000,
Indonésie,101,2013,Huil Plantes Oleif Autr,2586,159000,,,,1000,0,158000
Indonésie,101,2013,Tomates,2601,985000,,,95000,0,890000,
Indonésie,101,2013,Oignons,2602,987000,,,99000,,888000,
Indonésie,101,2013,"Légumes, Autres",2605,8917000,,,615000,0,8303000,
Indonésie,101,2013,"Oranges, Mandarines",2611,1568000,,,143000,0,1425000,
Indonésie,101,2013,Citrons & Limes,2612,5000,,,,,5000,
Indonésie,101,2013,Pamplemousse,2613,2000,,,,,2000,
Indonésie,101,2013,"Agrumes, Autres",2614,0,,,,,0,
Indonésie,101,2013,Bananes,2615,5355000,,,536000,66000,4753000,
Indonésie,101,2013,Bananes plantains,2616,-6000,,,,,,
Indonésie,101,2013,Pommes,2617,144000,,,3000,0,141000,
Indonésie,101,2013,Ananas,2618,1509000,,,147000,0,1362000,
Indonésie,101,2013,Dattes,2619,29000,,,,,29000,
Indonésie,101,2013,Raisin,2620,47000,,,,,47000,
Indonésie,101,2013,"Fruits, Autres",2625,7570000,,,747000,0,6822000,
Indonésie,101,2013,Café,2630,79000,,,29000,,51000,
Indonésie,101,2013,Feve de Cacao,2633,429000,,,,,429000,
Indonésie,101,2013,Thé,2635,98000,,,3000,,95000,
Indonésie,101,2013,Poivre,2640,42000,,,3000,,39000,
Indonésie,101,2013,Piments,2641,18000,,,1000,,18000,
Indonésie,101,2013,Girofles,2642,94000,,,5000,,5000,84000
Indonésie,101,2013,"Épices, Autres",2645,291000,,,2000,,289000,
Indonésie,101,2013,Vin,2655,0,,,,,0,
Indonésie,101,2013,Bière,2656,273000,,,,,273000,
Indonésie,101,2013,Boissons Fermentés,2657,0,,,,,1000,
Indonésie,101,2013,Boissons Alcooliques,2658,26000,,,,,26000,
Indonésie,101,2013,"Alcool, non Comestible",2659,20000,,,,,,20000
Indonésie,101,2013,Aliments pour enfants,2680,6000,,,,,0,
Indonésie,101,2013,Viande de Bovins,2731,647000,,,,0,647000,
Indonésie,101,2013,Viande d'Ovins/Caprins,2732,115000,,,,,115000,
Indonésie,101,2013,Viande de Suides,2733,746000,,,,0,746000,
